Hsrlnm,Orgsnm,Dstntnm,Hsrloptm,Hsrlspd,Dsgnspd,Mnst
高铁线路名称,起点名,终点名,开通时间,线路长度(km),设计速度(km/h）,沿途主要车站
合蚌高速铁路,合肥,蚌埠南,2012/10/16,132,350,合肥、合肥北城、水家湖、淮南东、蚌埠南
京哈高速铁路沈哈段,沈阳北,哈尔滨西,2012/12/1,538,350,沈阳北、铁岭西、开原西、昌图西、四平东、公主岭南、长春西、德惠西、扶余北、双城北、哈尔滨西
京哈高速铁路沈大段,沈阳北,大连北,2012/12/1,383,350,沈阳北、沈阳、辽阳、鞍山西、海城西、营口东、盖州西、鲅鱼圈、瓦房店西、普湾、大连北
京广高速铁路京郑段,北京西,郑州东,2012/12/26,693,350,北京西、涿州东、高碑店东、保定东、定州东、正定机场、石家庄、高邑西、邢台东、邯郸东、安阳东、鹤壁东、新乡东、郑州东
杭深铁路厦漳段,厦门北,漳州,2012/6/29,42,250,厦门北、角美、漳州
宁蓉铁路汉宜段,汉口,宜昌东,2012/7/1,292,200,汉口、汉川、天门南、仙桃西、潜江、荆州、枝江北、宜昌东
京广高速铁路郑武段,郑州东,武汉,2012/9/28,536,350,郑州东、许昌东、漯河西、驻马店西、明港东、信阳东、孝感北、武汉
津秦高速铁路,天津西,秦皇岛,2013/12/1,287,350,天津西、天津、军粮城北、滨海西、滨海北、唐山、滦河、北戴河、秦皇岛
衡柳铁路,衡阳东,柳州,2013/12/26,498,200,衡阳东、祁东、祁阳、永州、东安东、全州南、兴安北、桂林北、桂林、永福南、鹿寨北、柳州
杭深铁路漳深段,漳州,深圳北,2013/12/28,472,250,漳州、漳浦、云霄、诏安、饶平、潮汕、潮阳、普宁、葵潭、陆丰、汕尾、鲘门、惠东、惠州南、深圳坪山、深圳北
徐兰高速铁路西宝段,西安北,宝鸡南,2013/12/28,167,350,西安北、咸阳秦都、杨陵南、岐山、宝鸡南
宁蓉铁路凉渝段,凉雾,重庆北,2013/12/28,265,200,石柱县、丰都、涪陵北、长寿北、重庆北
武咸城际铁路,南湖东,咸宁南,2013/12/28,76,200及以上,南湖东、汤逊湖、庙山、普安、纸坊东、乌龙泉南、土地堂东、山坡东、贺胜桥东、横沟桥东、咸宁东、咸宁南
柳南客运专线,柳州,南宁,2013/12/28,223,250,柳州、来宾北、宾阳、南宁东、南宁
邕北铁路,钦州东,北海,2013/12/28,197,250,钦州东、北海
钦防铁路,钦州,防城港北,2013/12/28,51,250,钦州、防城港北
宁杭高速铁路,南京南,杭州东,2013/7/1,256,350,南京南、江宁、句容西、溧水、瓦屋山、溧阳、宜兴、长兴、湖州、德清、杭州东
杭甬高铁,杭州东,宁波,2013/7/1,155,350,杭州东、杭州南、绍兴北、绍兴东、余姚北、庄桥、宁波
盘营高速铁路,盘锦北,营口东,2013/9/12,118,350,盘锦北、盘锦、营口东
兰新客运专线柳乌段,柳园南,乌鲁木齐南,2014/11/16,791,250,柳园南、哈密、吐哈、鄯善北、吐鲁番北、乌鲁木齐南
沪昆高速铁路杭南段,杭州东,南昌西,2014/12/10,582,350,杭州东、杭州南、诸暨、义乌、金华、龙游、衢州、江山、玉山南、上饶、弋阳、鹰潭北、抚州东、进贤南、南昌西
沪昆高速铁路长新段,长沙南,新晃西,2014/12/16,420,350,长沙南、湘潭北、韶山南、娄底南、邵阳北、新化南、溆浦南、怀化南、芷江、新晃西
西成客运专线江成段,江油,成都东,2014/12/20,152,250,江油、青莲、绵阳、罗江东、德阳、广汉北、青白江东、新都东、成都东
成贵客运专线成乐段,成都东,乐山,2014/12/20,135,250,成都东、成都南、双流机场、双流西、新津、新津南、彭山北、眉山东、青神、乐山
兰新容运专线兰柳段,兰州西,柳园南,2014/12/26,986,250,兰州西、民和南、乐都南、海东西、西宁、大通西、门源、民乐、张掖西、临泽南、高台南、清水北、酒泉南、嘉峪关南、玉门、柳园南
贵广客运专线龙广段,龙里北,广州南,2014/12/26,815,250,龙里北、贵定县、三都县、榕江、从江、三江南、桂林西、桂林北、阳朔、恭城、钟山西、贺州、怀集、广宁、肇庆东、三水南、广州南
南广铁路梧广段,梧州南,广州南,2014/12/26,246,250,梧州南、郁南、南江口、云浮东、肇庆西、肇庆东、三水南、广州南
贵广高速铁路,贵阳北,广州南,2014/12/26,650,250,贵阳北、贵阳东、龙洞堡、龙里北、贵定县、都匀东、三都县、榕江、从江、三江南、五通、桂林西、桂林北、阳朔、恭城、钟山西、贺州、怀集、广宁、肇庆东、三水南、佛山西、广州南
青荣城际铁路即荣段,即墨北,荣成,2014/12/28,276,250,即墨北、夏格庄、莱西北、莱阳、海阳北、桃村北、烟台南、牟平、威海北、威海、文登东、荣成
郑开城际铁路,郑州东,开封,2014/12/28,50,200,郑州东、贾鲁河、绿博园、运粮河、宋城路
南广铁路南梧段,南宁,梧州南,2014/4/16,328,250,南宁、南宁东、宾阳、贵港、桂平、平南南、藤县、梧州南
武石城际铁路,花山南,大冶北,2014/6/18,90,200及以上,花山南、左岭、葛店南、华容南、鄂州、鄂州东、花湖、黄石北、大治北
武冈城际铁路,葛店南,黄冈东,2014/6/18,36,200,葛店南、华容东、黄冈西、黄冈、黄冈东
大西高速铁路太西段,太原南,西安北,2014/7/1,536,250,太原南、晋中、太谷西、祁县东、平遥古城、介休东、灵石东、霍州东、洪洞西、临汾西、襄汾西、侯马西、闻喜西、运城北、永济北、大荔、渭南北、西安北
沪昆高速铁路南长段,南昌西,长沙南,2014/9/16,342,350,南昌西、高安、新余北、宜春、萍乡北、醴陵东、长沙南
牡绥铁路牡穆段,牡丹江,穆棱,2015/12/10,65,200,牡丹江、爱河、磨刀石、穆棱
南昆高铁南百段,南宁,百色,2015/12/11,223,250,南宁西、隆安东、平果、那何北、田东北、田阳、百色
丹大高速铁路,丹东,大连北,2015/12/17,292,200,丹东、丹东西、东港北、北井子、大孤山、青堆、庄河北、花园口、城子坦、皮口、杏树屯、登沙河、广宁寺、金州、大连北
新金丽温铁路,金华南,温州南,2015/12/26,189,200,东孝、金华南、武义北、永康南、缙云西、丽水、陈篆、青田、温州南
赣瑞龙线,赣州东,龙岩,2015/12/26,250,200,赣州、于都、会昌北、瑞金、长汀南、冠豸山、古田会址、龙岩
兰渝铁路广渝段,广元,渭沱,2015/12/26,352,200,广元、苍溪、阆中、南部、南充北、武胜、渭沱
